Group;Age group;Nb. Male;% Male;Prob. Male;Nb. Female;% Female;Prob. Female
1;0-4;47 195;10,521;0,105;44 702;10,246;0,102
2;5-9;45 243;10,085;0,101;43 052;9,868;0,099
3;10-14;40 715;9,076;0,091;38 881;8,912;0,089
4;15-19;38 032;8,478;0,085;36 056;8,264;0,083
5;20-24;37 464;8,351;0,084;36 152;8,286;0,083
6;25-29;35 253;7,859;0,079;34 055;7,806;0,078
7;30-34;35 266;7,861;0,079;33 552;7,69;0,077
8;35-39;33 382;7,441;0,074;31 768;7,281;0,073
9;40-44;27 697;6,174;0,062;25 817;5,917;0,059
10;45-49;25 314;5,643;0,056;24 190;5,544;0,055
11;50-54;24 649;5,495;0,055;23 961;5,492;0,055
12;55-59;21 263;4,74;0,047;20 745;4,755;0,048
13;60-64;14 891;3,319;0,033;15 724;3,604;0,036
14;65-69;10 076;2,246;0,022;11 252;2,579;0,026
15;>70;12 155;2,71;0,027;16 385;3,756;0,038
;;448 595;100;1;436 292;100;1
